"cfs.glasses" "cfs.gender" "cfs.age" "cfs.makeup" "trait.factor01" "trait.factor02" "trait.factor03" "trait.factor04" "trait.factor05"
"1" -0.0225585456632126 0 -0.00623343699460409 0 0.0173757820290234 0 0 0 0.068166871865375
"2" 0 -0.888118428693882 -0.231971044150769 0.0890038992651266 -0.00246745730607565 -1.95368512880106e-17 0.0963211864209968 0 0.0435845543211124
"3" 0 0 -0.0278085933774151 -0.0118433757112285 0.0409646830949735 0 -0.0145500396034933 0 0.0162686864923908
"4" 0.140379269139505 0.272619468617092 -0.0916579154099629 -0.0299254864955881 -0.0752274843268174 0 0.0603247013993417 0 -0.0464533506015932
"5" 0.247906385136023 0.382672465292004 0 -0.0533182044638235 0.0234067068166189 0.00636105187606669 0.0465267201511631 0 -0.0661845101139065
"6" 0 -0.0777253044611139 0 0.0201992691897712 0 -0.0256301683787761 0 0 0
"7" 0 -0.267324987293774 0.0395219083979579 0.049186504212561 0 -0.0243846995829735 0.0164189044126501 0 0.0494956384977425
"8" 0 0 0.0903810644874969 0 0 0 0.0202967624024185 0 -0.0402337762527873
"9" 0.451246373857738 0.115720153182735 0 0 0.0493793738156897 0.021809210124329 -0.0376530843595132 0 -0.0591363067834592
"10" 0 0 0.0587108611696842 0 0.0207199907853286 0 0.0230262372279902 0 -0.0453999923776247
"11" 0 0.0271936244849262 0.0651098392163215 -0.000737039924971815 0 0 0.00208795914287822 0 -0.0188171155234868
"12" 0.252006720971778 0.00536832639030319 0 0 0 0 0.011246166401965 0 -0.0315683401880845
"13" 0 0 -0.0325583170671809 0 0.0921661590568891 -0.0829546427168563 0.0300918277099858 0 0
"14" 0 0 -0.0539369117201305 0.0190723603211507 -0.0533187625722105 0 -0.0440868695899251 0 0.0324807905178399
"15" 0 0 -0.0325139482606612 -0.000923517358790406 0.0302058217612818 0 0.00320678412248731 0 0
"16" -0.0809657561598436 -0.0688310796141962 -0.147796526503407 0.00636283278722232 -0.0496812429685942 0 -0.00979559662516159 0 0.0673780018019329
"17" 0 0 -0.0562475205610572 0 0 -0.0222201035029017 0.013191305700196 0 0.0094431354678878
"18" 0 0 0.104708948080891 0.0160485096722436 -0.0444442738979792 0 -0.0497050427955276 0 0
"19" 0 0 0.0989409008197476 0 0 0.0379575216564154 -0.00861166678490954 0 0
"20" 0.167430344798895 0 -0.0386345697261876 0 0 0 0.0494772975115678 0 -0.0307167052925117
"21" 0 -0.240208763741826 0.0858065055499794 0.0258824230585133 0 1.16912318171088e-17 -0.00253044962756366 0 0.0252250725075002
"22" 0 0 0.00462047840000872 0 -0.0012730542241954 1.04957332519592e-17 0 0 0.00959420488505794
"23" 0.263890133126241 0 0 0 0.0474472770436035 -0.0111987740758123 0.0162425653386726 0 -0.0224764598821395
"24" 0.0187225194916546 0 0 0 -0.0216565624305183 0 -0.0362567727632461 0 -0.0136192646294273
"25" 0 0 0 0 0.0434484272520185 0.0101349861032877 0.0416136110215233 0 0
"26" 0 0 0 0 0.0140330718730103 0 0 0 0
"27" 0 0 -0.00617870415335921 0 -0.0163397867639953 0 -0.030588298497076 0 0
"28" 0.0824229048852956 0 0.0340010074974353 0 0.0146123481339416 0.000540125776955327 0.0101285928097372 0 -0.0292796060326362
"29" 0 0.013762600579166 0 -0.0157263859289031 0 0 0 0 0
"30" -0.213082119811181 0 -0.0598863378374861 0 0 -0.0628165076587084 0 0 0
"31" 0 0 0 -0.00232213218679117 0 0 -0.0437734389045482 0 0.00913647648363759
"32" 0 0 0 0 0 0 0 0 -0.0453781327488509
"33" 0.166511692940405 0 0.0270751169617688 0 0 0 0 0 -0.0164886941647563
"34" 0 0 0 0 0.0263074592343569 0 0 0 0
"35" 0 0 0 0 0.0112525030856741 -0.0198831980148589 -0.00316327481669822 0 0
"36" 0 0 -0.0808308037317104 0 -0.0715208788345011 -0.0180186057755668 0.00508528384407122 0 0.0170559105484414
