"","ind","vid","fr","fn","pitch","yaw","roll","fd","luminance","age","facial_hair","makeup","gender","race","hair","eye","glasses","attractive","extraverted","trustworthy","intelligent","mean","competent","typical","unemotional","memorable","humble"
"1",1,"Aaron_Sorkin_vid03_clip01_2secs",3,"Aaron_Sorkin_vid03_clip01_2secs_fr003.mat",-12.6017,-0.782451,0.539807,12.6375022870285,0.467997048438,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"2",2,"Aaron_Sorkin_vid03_clip01_2secs",9,"Aaron_Sorkin_vid03_clip01_2secs_fr009.mat",-12.1312,-0.589773,0.384715,12.1516192856242,0.466132497706,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"3",3,"Aaron_Sorkin_vid03_clip01_2secs",15,"Aaron_Sorkin_vid03_clip01_2secs_fr015.mat",-10.4574,-0.302817,0.0478339,10.4618928008978,0.463786712501,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"4",4,"Aaron_Sorkin_vid03_clip01_2secs",21,"Aaron_Sorkin_vid03_clip01_2secs_fr021.mat",-9.68672,0.511765,-1.5415,9.82194838225212,0.465038879427,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"5",5,"Aaron_Sorkin_vid03_clip01_2secs",27,"Aaron_Sorkin_vid03_clip01_2secs_fr027.mat",-8.39422,0.563149,0.179676,8.41500740757707,0.44502636702,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"6",6,"Aaron_Sorkin_vid03_clip01_2secs",33,"Aaron_Sorkin_vid03_clip01_2secs_fr033.mat",-8.08278,0.102693,-1.34852,8.19514396280193,0.462102107086,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"7",7,"Aaron_Sorkin_vid03_clip01_2secs",39,"Aaron_Sorkin_vid03_clip01_2secs_fr039.mat",-8.73708,-0.710875,0.510331,8.78079426484791,0.461981946493,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"8",8,"Aaron_Sorkin_vid03_clip01_2secs",45,"Aaron_Sorkin_vid03_clip01_2secs_fr045.mat",-8.53764,0.052264,-1.1192,8.61084414766032,0.448303836982,3.16666666666667,"None",0.75,"Male","White","Brown","Brown","Yes",4.16666666666667,4.08333333333333,6.33333333333333,7.83333333333333,4.16666666666667,8.09090909090909,6.25,6.41666666666667,5.16666666666667,5.83333333333333
"9",9,"Abba_Eban_vid03_clip18_2secs",3,"Abba_Eban_vid03_clip18_2secs_fr003.mat",1.19007,-20.5602,16.2888,26.2576292929293,0.248116675993,5.58333333333333,"None",0.416666666666667,"Male","White","White","Brown","No",3.91666666666667,3.66666666666667,5.58333333333333,7.66666666666667,5.33333333333333,7.72727272727273,5.66666666666667,4.33333333333333,6.16666666666667,4
"10",10,"Abba_Eban_vid03_clip18_2secs",9,"Abba_Eban_vid03_clip18_2secs_fr009.mat",-2.99868,-20.0371,17.2661,26.6194603131318,0.249921903698,5.58333333333333,"None",0.416666666666667,"Male","White","White","Brown","No",3.91666666666667,3.66666666666667,5.58333333333333,7.66666666666667,5.33333333333333,7.72727272727273,5.66666666666667,4.33333333333333,6.16666666666667,4
