"","person","pic","N","mean","sd","se"
"81","Angelina_Jolie","Angelina_Jolie_117",6,5,0.894427190999916,0.365148371670111
"82","Angelina_Jolie","Angelina_Jolie_128",6,5.16666666666667,0.752772652709081,0.30731814857643
"83","Angelina_Jolie","Angelina_Jolie_14",6,4.33333333333333,1.75119007154183,0.714920352984241
"84","Angelina_Jolie","Angelina_Jolie_15",6,4.33333333333333,0.516397779494322,0.210818510677892
"85","Angelina_Jolie","Angelina_Jolie_153",6,5,0.894427190999916,0.365148371670111
"86","Angelina_Jolie","Angelina_Jolie_168",6,4.66666666666667,1.211060141639,0.494413232473044
"87","Angelina_Jolie","Angelina_Jolie_178",6,5,0.894427190999916,0.365148371670111
"88","Angelina_Jolie","Angelina_Jolie_181",6,4.33333333333333,1.03279555898864,0.421637021355784
"89","Angelina_Jolie","Angelina_Jolie_187",6,4.16666666666667,0.752772652709081,0.30731814857643
"90","Angelina_Jolie","Angelina_Jolie_188",6,4.33333333333333,1.50554530541816,0.614636297152859
"91","Angelina_Jolie","Angelina_Jolie_189",6,4.16666666666667,1.16904519445001,0.477260702109212
"92","Angelina_Jolie","Angelina_Jolie_190",6,2.66666666666667,1.96638416050035,0.802772971919486
"93","Angelina_Jolie","Angelina_Jolie_21",6,4.83333333333333,0.752772652709081,0.30731814857643
"94","Angelina_Jolie","Angelina_Jolie_227",6,3,1.26491106406735,0.516397779494322
"95","Angelina_Jolie","Angelina_Jolie_3_2",6,4.5,1.04880884817015,0.428174419288838
"96","Angelina_Jolie","Angelina_Jolie_330",6,2.16666666666667,1.32916013582513,0.542627353203324
"97","Angelina_Jolie","Angelina_Jolie_4_2",6,5.16666666666667,0.752772652709081,0.30731814857643
"98","Angelina_Jolie","Angelina_Jolie_424",6,3.5,0.836660026534076,0.341565025531987
"99","Angelina_Jolie","Angelina_Jolie_49",6,4.16666666666667,0.983192080250175,0.401386485959743
"100","Angelina_Jolie","Angelina_Jolie_70",6,3,0.894427190999916,0.365148371670111
"1","Brad_Pitt","Brad_Pitt_0",8,3.375,1.92260983338497,0.679745225381224
"2","Brad_Pitt","Brad_Pitt_0_2",8,3.25,1.75254916376933,0.619619699032053
"3","Brad_Pitt","Brad_Pitt_12",8,4.5,1.0690449676497,0.377964473009227
"4","Brad_Pitt","Brad_Pitt_20",8,4.75,0.886405260427918,0.313391585264004
"5","Brad_Pitt","Brad_Pitt_265",8,4.875,1.35620268186054,0.479490056503484
"6","Brad_Pitt","Brad_Pitt_275",8,3.375,1.76776695296637,0.625
"7","Brad_Pitt","Brad_Pitt_284",8,4.625,1.06066017177982,0.375
"8","Brad_Pitt","Brad_Pitt_291",8,4.375,1.30247018062932,0.46049274850813
"9","Brad_Pitt","Brad_Pitt_3_2",8,3.625,1.84681192483541,0.652946617813651
"10","Brad_Pitt","Brad_Pitt_303",8,3.5,1.51185789203691,0.534522483824849
"11","Brad_Pitt","Brad_Pitt_312",8,4,1.8516401995451,0.654653670707977
"12","Brad_Pitt","Brad_Pitt_322",8,4.25,1.28173988892331,0.453163483587483
"13","Brad_Pitt","Brad_Pitt_348",8,4.625,1.06066017177982,0.375
"14","Brad_Pitt","Brad_Pitt_350",8,3.625,1.50594061730772,0.53243041128127
"15","Brad_Pitt","Brad_Pitt_359",8,3.625,1.50594061730772,0.53243041128127
"16","Brad_Pitt","Brad_Pitt_380",8,3.875,1.45773797371133,0.515388203202208
"17","Brad_Pitt","Brad_Pitt_409",8,3.75,1.58113883008419,0.559016994374947
"18","Brad_Pitt","Brad_Pitt_6",8,4.625,1.18773493916542,0.41992771486803
"19","Brad_Pitt","Brad_Pitt_624",8,4.5,1.19522860933439,0.422577127364258
"20","Brad_Pitt","Brad_Pitt_93",8,3.375,1.30247018062932,0.46049274850813
"21","Jennifer_Aniston","Jennifer_Aniston_0",8,3.5,1.77281052085584,0.626783170528009
"22","Jennifer_Aniston","Jennifer_Aniston_0_2",8,3.25,1.58113883008419,0.559016994374947
"23","Jennifer_Aniston","Jennifer_Aniston_111",8,4.5,1.30930734141595,0.462910049886276
"24","Jennifer_Aniston","Jennifer_Aniston_125",8,5.125,0.83452296039628,0.295048422176041
"25","Jennifer_Aniston","Jennifer_Aniston_127",8,3.75,1.58113883008419,0.559016994374947
